time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,9.05156240167e-08,4.42873599374e-08,10.0035843016,6.28277185537,6.28300926244,0.0,1.14505677488e-05,-1.40488701064e-05,0.119470935406,-0.0265446416192,-0.00956506123704,0.0,442.74399219873845,441.9565280224692,444.80601667915784,442.62731083552654
0.12000000000000001,6.97754594243e-06,-1.56743823089e-05,10.0149075406,6.28062379647,6.2820882261,0.0,0.000294644950199,-0.000694274563703,0.257948280005,-0.0701534328813,-0.0306125729476,0.0,450.2154047431956,448.5095817568743,450.34154625107976,446.79983845999914
0.18,5.9427366655e-05,-0.000138170188966,10.0369243079,6.27641796803,6.28025761191,0.0,0.00167266823108,-0.00389139066268,0.475875755638,-0.0699848531147,-0.0303063810304,0.0,471.8541256467569,471.8775100144756,474.0059664257817,474.01550604813383
0.23999999999999996,0.000227725324034,-0.000528509917022,10.0686022019,6.2718789554,6.27824912558,0.0,0.00413254257528,-0.00956432652761,0.58000202855,-0.0904697371549,-0.040712493181,0.0,439.48508082058964,438.62136771943574,438.74067147855385,437.03203791704175
0.3,0.000588499013692,-0.00136005680631,10.1066705316,6.26610650041,6.2754725426,0.0,0.0081591206956,-0.0187280447419,0.68887326256,-0.111282121247,-0.0607433793553,0.0,440.8244568598596,439.1649489272329,441.0596357046722,439.3293712206061
0.36000000000000004,0.00126350629319,-0.00288868998201,10.1524502929,6.25936979415,6.27145595492,0.0,0.0147535996545,-0.032956390327,0.837003480337,-0.11434752117,-0.0837428244173,0.0,452.92006012690877,451.0632675625088,453.081948611533,452.8245198717112
0.4200000000000001,0.00242138190622,-0.0054055272415,10.2065351755,6.25297190971,6.26625194995,0.0,0.0243837085432,-0.0516363996599,0.965699539173,-0.0944950217677,-0.0935041897345,0.0,447.6868721855827,446.88579657714143,445.3816085232185,446.99197256491414
0.48000000000000015,0.00425220304919,-0.00914375827169,10.2672832918,6.24724091075,6.26084624341,0.0,0.0371981381081,-0.0735443087719,1.05912542683,-0.0976407731871,-0.0840295381343,0.0,435.3228775484699,436.1078605373332,436.25631116003643,435.98563003643227
0.5400000000000001,0.0070606155174,-0.0144733513389,10.3379363747,6.24175466737,6.25602738921,0.0,0.0570118732398,-0.104790101117,1.29569689427,-0.0812714773333,-0.0737657619597,0.0,478.62397927747685,479.39966922823044,479.6627720159405,480.8976648812525
0.6000000000000002,0.0110003739778,-0.0215459427051,10.4165519358,6.23668507798,6.25160575207,0.0,0.0747174510021,-0.131415514434,1.32475484348,-0.0918674097407,-0.0735507999819,0.0,416.10815896662535,416.122338624997,415.90771210440056,414.972262969486
0.6600000000000003,0.016105830194,-0.030343145885,10.497563175,6.23144829358,6.24712305992,0.0,0.0958838302597,-0.162329327516,1.37551797917,-0.0794045236641,-0.0771389147875,0.0,424.2701420602069,423.95731884004437,421.6302107972339,422.698636368461
0.7200000000000003,0.0225948677805,-0.0411315484432,10.5823381158,6.22646912646,6.24250618903,0.0,0.120868337878,-0.197756500416,1.45017411585,-0.0913290737911,-0.0765686519989,0.0,431.13422280663735,431.17750530128035,431.6728573540992,430.65959464777427
0.7800000000000004,0.0307368247108,-0.0542322387169,10.6730720816,6.22171277576,6.23780187674,0.0,0.151013890375,-0.239456135592,1.57407015544,-0.0622286600829,-0.0823549809273,0.0,446.68325215361466,446.2062779913957,446.5768373318604,448.93864163354965
0.8400000000000004,0.0408759617857,-0.0700473897779,10.7731022817,6.21774157642,6.23320015278,0.0,0.187490006145,-0.288138690723,1.75993939503,-0.0755847467726,-0.0672768017752,0.0,466.19276875471166,467.364897698511,466.731978786589,465.6853998689803
0.9000000000000005,0.0532341235741,-0.0887835288278,10.8828368958,6.21269720592,6.22880321031,0.0,0.224886277396,-0.336887808323,1.8975940547,-0.112211566504,-0.0893426067275,0.0,453.70765637255687,451.9284184447031,453.77216707884895,450.81617276150735
0.9600000000000005,0.0680251438088,-0.11067722031,11.0023974658,6.20608349674,6.2232062617,0.0,0.268758953981,-0.393645854173,2.08732251593,-0.106534283392,-0.102626086611,0.0,469.5068628385241,468.46823066390834,468.7717015711948,469.2025682974787
1.0200000000000005,0.0856504580071,-0.136214842445,11.1344294118,6.20053983971,6.21657757113,0.0,0.319485412381,-0.458280784606,2.31318614703,-0.0733227112434,-0.134776579408,0.0,482.52084772497307,480.07726107196225,478.5281094496045,481.04239268742623
1.0800000000000005,0.106186024259,-0.165386338747,11.2755442074,6.19600239064,6.20802252609,0.0,0.365834713437,-0.514526925211,2.39036486705,-0.0806745834246,-0.166627523401,0.0,438.18053322916086,435.50440823128514,436.05611582722776,435.4368918271839
1.1400000000000006,0.12971890563,-0.198068010818,11.4217596218,6.1908975666,6.19815163121,0.0,0.419581694943,-0.575339952838,2.4831314021,-0.0957889654559,-0.160598172458,0.0,442.2308628732287,442.7012366198686,441.9728109401554,440.7192412924528
1.2000000000000006,0.156972047926,-0.234821077645,11.5768828889,6.18510070889,6.18817672903,0.0,0.489961964987,-0.650388594122,2.68697709306,-0.0983169214729,-0.180997584989,0.0,478.0523967630764,476.47074029674235,476.1239051060856,475.92316554348355
1.2600000000000007,0.188539374737,-0.27605986086,11.7426478704,6.17936471391,6.17717544355,0.0,0.563441756883,-0.724827544407,2.83792466714,-0.0906585379265,-0.188534765742,0.0,462.50349845357266,461.87826363726066,461.8997217690667,462.49585737052246
